expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
06/19/2015,3.5,Call,ZNGA  150619C00003500,0.180,0.12,0.24,0.02,16.129,0,291,0.2045,0.6274,62.3764,0.3361,0.3203,-0.0012,-260.6387,0.0066,0.0032
06/19/2015,3.5,Put,ZNGA  150619P00003500,1.040,1.03,1.05,0.07,7.2165,0,9326,1.0400,0.6274,62.3764,-0.6649,0.3222,-0.0012,-267.8703,0.0066,-0.0100
01/15/2016,1.5,Call,ZNGA  160115C00001500,1.375,1.15,1.60,0.02,1.8519,0,567,1.2915,0.6248,80.3704,0.8902,0.1107,-0.0004,-252.7854,0.0051,0.0112
01/15/2016,1.5,Put,ZNGA  160115P00001500,0.155,0.07,0.24,-0.01,-6.0606,0,1191,0.1363,0.6525,80.3704,-0.1144,0.1097,-0.0004,-246.6135,0.0053,-0.0041
01/15/2016,2.0,Call,ZNGA  160115C00002000,0.975,0.75,1.20,0.00,0,0,2537,0.9750,0.6248,71.9364,0.7813,0.1740,-0.0007,-256.6667,0.0080,0.0115
01/15/2016,2.0,Put,ZNGA  160115P00002000,0.325,0.30,0.35,0.00,0,0,6684,0.3250,0.6525,71.9364,-0.2206,0.1685,-0.0007,-247.8368,0.0080,-0.0083
01/15/2016,2.5,Call,ZNGA  160115C00002500,0.775,0.57,0.98,0.03,4.0268,0,10058,0.7750,0.6654,66.6058,0.6702,0.2005,-0.0009,-228.3349,0.0098,0.0105
01/15/2016,2.5,Put,ZNGA  160115P00002500,0.585,0.50,0.67,0.12,24.4681,0,9708,0.5850,0.6503,66.6058,-0.3326,0.2076,-0.0008,-251.3281,0.0099,-0.0128
01/15/2016,3.0,Call,ZNGA  160115C00003000,0.625,0.55,0.70,-0.01,-1.5748,10,7370,0.6250,0.6895,63.2469,0.5754,0.2094,-0.0010,-213.6500,0.0106,0.0094
01/15/2016,3.0,Put,ZNGA  160115P00003000,0.900,0.69,1.11,0.03,4.0462,0,2198,0.9000,0.6447,63.2469,-0.4396,0.2277,-0.0009,-258.1780,0.0108,-0.0171
01/15/2016,3.5,Call,ZNGA  160115C00003500,0.435,0.40,0.47,-0.13,-23.6842,4,3181,0.4350,0.636,61.227,0.4648,0.2302,-0.0009,-251.0622,0.0108,0.0083
01/15/2016,3.5,Put,ZNGA  160115P00003500,1.260,1.04,1.48,0.02,2.0243,0,507,1.2600,0.64,61.227,-0.5357,0.2319,-0.0009,-265.3021,0.0106,-0.0209
01/20/2017,1.5,Call,ZNGA  170120C00001500,1.545,1.31,1.78,-0.03,-1.5924,0,1,1.5450,0.7504,92.9732,0.8605,0.0776,-0.0004,-177.8716,0.0085,0.0153
01/20/2017,1.5,Put,ZNGA  170120P00001500,0.295,0.16,0.43,0.03,11.3208,0,0,0.3669,0.7504,92.9732,-0.1399,0.0783,-0.0004,-188.6241,0.0084,-0.0130
01/20/2017,2.0,Call,ZNGA  170120C00002000,1.275,1.04,1.51,-0.02,-1.9231,0,5,1.2750,0.7054,78.1157,0.7883,0.1076,-0.0005,-201.8349,0.0110,0.0169
01/20/2017,2.0,Put,ZNGA  170120P00002000,0.525,0.36,0.69,0.03,7.1428,0,0,0.5250,0.6462,78.1157,-0.2171,0.1203,-0.0005,-257.1538,0.0111,-0.0189
01/20/2017,2.5,Call,ZNGA  170120C00002500,1.065,0.83,1.30,-0.06,-4.9107,0,75,1.0650,0.6852,68.5148,0.7149,0.1299,-0.0006,-214.3234,0.0130,0.0172
01/20/2017,2.5,Put,ZNGA  170120P00002500,0.800,0.59,1.01,0.02,2.5641,0,0,0.8000,0.6268,68.5148,-0.2986,0.1467,-0.0005,-275.8233,0.0132,-0.0262
01/20/2017,3.0,Call,ZNGA  170120C00003000,1.005,0.89,1.12,-0.02,-2.4272,0,86,1.0050,0.7499,62.5282,0.6694,0.1267,-0.0007,-179.9247,0.0138,0.0160
01/20/2017,3.0,Put,ZNGA  170120P00003000,1.155,0.95,1.36,0.00,0.4348,0,22,1.1550,0.6388,62.5282,-0.3689,0.1570,-0.0006,-268.8818,0.0143,-0.0335
01/20/2017,3.5,Call,ZNGA  170120C00003500,0.755,0.52,0.99,-0.01,-1.9481,0,5,0.7550,0.6603,59.1869,0.5783,0.1553,-0.0007,-231.7537,0.0149,0.0161
01/20/2017,3.5,Put,ZNGA  170120P00003500,1.470,1.22,1.72,-0.01,-0.6757,0,10,1.4700,0.6025,59.1869,-0.4522,0.1757,-0.0006,-307.2395,0.0149,-0.0398
