expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
02/13/2015,12.0,Call,BBRY  150213C00012000,0.330,0.30,0.36,N/A,N/A,0,0,0.3300,0.4585,46.7659,0.3167,0.2037,-0.0071,-28.7341,0.0136,0.0038
02/13/2015,12.0,Put,BBRY  150213P00012000,1.350,1.24,1.46,N/A,N/A,0,0,1.3500,0.46,46.7659,-0.6829,0.2041,-0.0071,-28.8084,0.0136,-0.0088
02/20/2015,10.0,Call,BBRY  150220C00010000,1.340,1.33,1.35,-0.02,-1.4706,237,2813,1.3400,0.4793,47.2318,0.7301,0.1681,-0.0064,-26.2068,0.0136,0.0093
02/20/2015,10.0,Put,BBRY  150220P00010000,0.345,0.34,0.35,0.00,0,190,31118,0.3450,0.4699,47.2318,-0.2669,0.1712,-0.0062,-27.4986,0.0134,-0.0042
02/20/2015,11.0,Call,BBRY  150220C00011000,0.745,0.74,0.75,-0.01,-1.9737,191,2280,0.7450,0.4603,45.4883,0.5307,0.2105,-0.0074,-28.4646,0.0163,0.0071
02/20/2015,11.0,Put,BBRY  150220P00011000,0.755,0.75,0.76,0.00,0.6667,235,949,0.7550,0.4558,45.4883,-0.4697,0.2137,-0.0073,-29.2752,0.0163,-0.0073
02/20/2015,12.0,Call,BBRY  150220C00012000,0.380,0.37,0.39,-0.01,-2.5641,127,7999,0.3800,0.4596,45.1887,0.3338,0.1929,-0.0067,-28.5878,0.0149,0.0046
02/20/2015,12.0,Put,BBRY  150220P00012000,1.390,1.38,1.40,0.01,0.7246,182,289,1.3900,0.4547,45.1887,-0.6690,0.1952,-0.0066,-29.4958,0.0147,-0.0100
03/20/2015,10.0,Call,BBRY  150320C00010000,1.565,1.55,1.58,-0.02,-1.5723,67,7395,1.5650,0.5133,50.9614,0.6961,0.1334,-0.0058,-22.8207,0.0179,0.0131
03/20/2015,10.0,Put,BBRY  150320P00010000,0.575,0.57,0.58,0.00,0,52,16758,0.5750,0.5105,50.9614,-0.3033,0.1347,-0.0058,-23.3386,0.0182,-0.0076
03/20/2015,11.0,Call,BBRY  150320C00011000,1.015,1.00,1.03,-0.02,-2.4038,139,10617,1.0150,0.5025,50.0854,0.5443,0.1545,-0.0065,-23.8578,0.0202,0.0107
03/20/2015,11.0,Put,BBRY  150320P00011000,1.020,1.01,1.03,0.00,0,14,6682,1.0200,0.4976,50.0854,-0.4563,0.1569,-0.0064,-24.6056,0.0202,-0.0114
03/20/2015,12.0,Call,BBRY  150320C00012000,0.635,0.62,0.65,-0.01,-2.3077,77,20878,0.6350,0.5016,50.0358,0.3967,0.1505,-0.0063,-23.9702,0.0197,0.0081
03/20/2015,12.0,Put,BBRY  150320P00012000,1.645,1.62,1.67,0.01,0.6116,0,3331,1.6450,0.4992,50.0358,-0.6046,0.1519,-0.0062,-24.5140,0.0199,-0.0149
04/17/2015,10.0,Call,BBRY  150417C00010000,1.760,1.75,1.77,-0.02,-1.1236,5,65,1.7600,0.533,52.7118,0.6812,0.1127,-0.0053,-21.1418,0.0212,0.0168
04/17/2015,10.0,Put,BBRY  150417P00010000,0.750,0.74,0.76,-0.01,-1.3158,0,249,0.7500,0.5221,52.7118,-0.3174,0.1154,-0.0052,-22.3536,0.0211,-0.0112
04/17/2015,11.0,Call,BBRY  150417C00011000,1.225,1.21,1.24,-0.02,-1.6064,68,158,1.2250,0.5204,51.7739,0.5546,0.1278,-0.0058,-22.2168,0.0235,0.0143
04/17/2015,11.0,Put,BBRY  150417P00011000,1.225,1.21,1.24,0.00,0,50,419,1.2250,0.5153,51.7739,-0.4462,0.1298,-0.0056,-22.9887,0.0235,-0.0156
04/17/2015,12.0,Call,BBRY  150417C00012000,0.845,0.83,0.86,-0.01,-1.1696,127,104,0.8450,0.5212,51.4261,0.4321,0.1269,-0.0057,-22.1770,0.0234,0.0114
04/17/2015,12.0,Put,BBRY  150417P00012000,1.830,1.81,1.85,0.00,0.274,0,7,1.8300,0.5097,51.4261,-0.5723,0.1302,-0.0055,-23.5714,0.0231,-0.0198
06/19/2015,10.0,Call,BBRY  150619C00010000,2.070,2.05,2.09,-0.00,-0.241,10,4849,2.0700,0.5361,52.918,0.6711,0.0900,-0.0043,-20.8176,0.0271,0.0247
06/19/2015,10.0,Put,BBRY  150619P00010000,1.050,1.04,1.06,0.01,0.9615,80,11209,1.0500,0.5265,52.918,-0.3285,0.0921,-0.0042,-22.0731,0.0272,-0.0192
06/19/2015,11.0,Call,BBRY  150619C00011000,1.565,1.55,1.58,-0.01,-0.6349,10,2537,1.5650,0.5267,52.1901,0.5711,0.0995,-0.0046,-21.6131,0.0294,0.0219
06/19/2015,11.0,Put,BBRY  150619P00011000,1.550,1.53,1.57,0.01,0.6494,0,2260,1.5500,0.5204,52.1901,-0.4301,0.1014,-0.0045,-22.6569,0.0294,-0.0250
